TIMESTAMP,ContextTokens,GeneratedTokens
2026-09-22T00:00:00.000+00:00,4096,1024
2026-09-22T00:00:00.000+00:00,4096,1024
2026-09-22T00:00:00.150+00:00,4096,1024
2026-09-22T00:00:00.150+00:00,4096,1024
2026-09-22T00:00:00.300+00:00,4096,1024
2026-09-22T00:00:00.300+00:00,4096,1024
2026-09-22T00:00:00.450+00:00,4096,1024
2026-09-22T00:00:00.450+00:00,4096,1024
2026-09-22T00:00:00.600+00:00,4096,1024
2026-09-22T00:00:00.600+00:00,4096,1024
2026-09-22T00:00:00.750+00:00,4096,1024
2026-09-22T00:00:00.750+00:00,4096,1024
2026-09-22T00:00:00.900+00:00,4096,1024
2026-09-22T00:00:00.900+00:00,4096,1024
2026-09-22T00:00:01.050+00:00,4096,1024
2026-09-22T00:00:01.050+00:00,4096,1024
2026-09-22T00:00:01.200+00:00,4096,1024
2026-09-22T00:00:03.000+00:00,4096,32
2026-09-22T00:00:03.050+00:00,4096,32
2026-09-22T00:00:06.000+00:00,122880,32
2026-09-22T00:00:06.050+00:00,122880,32
